auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000802;03/371/15;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Балерина»";;"Фарфор, роспись, золочение, люстр, Ленинградский опытный завод, скульптор Е. Сычев, 2-я пол. 1950-х гг., марка синяя «Опытный завод ГИКИ Ленинград», высота 24,5 см";0;0;03_371_15_01.jpg;03_371_15_02.jpg;03_371_15_03.jpg;03_371_15_04.jpg;03_371_15_05.jpg;;;;;;;;;
02;1000478;02/210/08;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Фигурка «Восточный танец».";;"Фарфор, роспись, люстр, Германия, 1950-е гг., без марки, в тесте «8728», высота 21,5 см.";0;0;02_210_08_1.jpg;02_210_08_2.jpg;02_210_08_3.jpg;02_210_08_4.jpg;02_210_08_5.jpg;02_210_08_6.jpg;;;;;;;;
;1000790;03/369/06;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Девочка под зонтиком»";;"Фарфор, роспись, Ленинградский завод фарфоровых изделий, 1960-е гг., марка полузатертая ЛЗФИ, высота 12,5 см";0;0;03_369_06_01.jpg;03_369_06_02.jpg;03_369_06_03.jpg;03_369_06_04.jpg;03_369_06_05.jpg;;;;;;;;;
;1000785;03/369/01;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Девочка с голубями»";;"Фарфор, роспись, золочение, Ленинградский фарфоровый завод, 1950-е гг. Скульптор Г.С. Столбова, художник Л.К. Блак, модель 1952 г., марка синяя ЛФЗ, 1 сорт, от руки коричневым «74», высота 19,5 см";0;0;03_369_01_01.jpg;03_369_01_02.jpg;03_369_01_03.jpg;03_369_01_04.jpg;03_369_01_05.jpg;03_369_01_06.jpg;;;;;;;;
;1000800;03/371/11;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Девочка с куклой», авторская модель Веры Григорьевны Филянской (1900-?)";;"Фаянс, роспись, Конаково, 1948 г., от руки монограмма «ВФ» и дата «1948», высота 13,5 см";0;0;03_371_11_01.jpg;03_371_11_02.jpg;03_371_11_03.jpg;03_371_11_04.jpg;03_371_11_05.jpg;;;;;;;;;
;1000794;03/369/10;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Девочка с овечкой»";;"Фарфор, роспись, фабрика «Lladro», Испания, 1950-е гг., марка синяя «Lladro. Hand made in Spain», высота 25 см";0;0;03_369_10_01.jpg;03_369_10_02.jpg;03_369_10_03.jpg;03_369_10_04.jpg;03_369_10_05.jpg;;;;;;;;;
02;1000477;02/210/04;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Фигурка «Девочка, кормящая птиц».";;"Фарфор, роспись, золочение, СССР, Дулевский фарфоровый завод, 1954 г., высота 18,5 см.";5000;5000;02_210_04_1.jpg;02_210_04_2.jpg;02_210_04_3.jpg;02_210_04_4.jpg;02_210_04_5.jpg;02_210_04_6.jpg;02_210_04_7.jpg;02_210_04_8.jpg;02_210_04_9.jpg;;;;;
;1000803;03/371/18;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Девушка с гепардами»";;"Фарфор, золочение, Германия, Бавария, фабрика Хутченройтер, 2-я четв. ХХ в. , марка зеленая «Hutchenrenter. Bavaria Selb.», высота 26,5 см (скол на пальце руки)";0;0;03_371_18_01.jpg;03_371_18_02.jpg;03_371_18_03.jpg;03_371_18_04.jpg;03_371_18_05.jpg;03_371_18_06.jpg;;;;;;;;
;1000796;03/371/02;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Заяц с морковкой»";;"Фарфор, ЛФЗ (Ленинградский фарфоровый завод), скульптор Е. Чарушин, художник Е.Н. Лупанова (модель 1950 г.), 1950-е гг., марка синяя ЛФЗ, 2 сорт, красным «112», высота 12,5 см";1600;1600;03_371_02_01.jpg;03_371_02_02.jpg;03_371_02_03.jpg;03_371_02_04.jpg;03_371_02_05.jpg;;;;;;;;;
;1000792;03/369/08;"2011-03-21 15:00:00";"2011-03-31 15:00:00";"2011-03-21 15:00:00";"2011-03-31 15:00:00";"Фигурка «Лайка»";;"Фарфор, роспись, Ленинградский фарфоровый завод, 1937-1939 гг., марка красная полузатертая «НКТП…», высота 16,5 см";0;0;03_369_08_01.jpg;03_369_08_02.jpg;03_369_08_03.jpg;03_369_08_04.jpg;03_369_08_05.jpg;;;;;;;;;
