"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";""
"1000424";"http://auction-ruseasons.ru/items_images/";"Блюдо «Мифологический сюжет».";"Фарфор, деколь, Западная Европа, к. XIX - н. ХХ вв., диаметр 30 см.";"02/206/20";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_20_1.jpg";"02_206_20_2.jpg";"02_206_20_3.jpg";"02_206_20_4.jpg";"";"";"";"";"";"";"";""
"1000425";"http://auction-ruseasons.ru/items_images/";"Ваза в стиле модерн «Маки».";"Фаянс, лепка, раскраска, Западная Европа, н. ХХ в., высота 15,5 см, длина 28 см.";"02/206/29";"№02";"600";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_29_1.jpg";"02_206_29_2.jpg";"02_206_29_3.jpg";"02_206_29_4.jpg";"02_206_29_5.jpg";"";"";"";"";"";"";""
"1000426";"http://auction-ruseasons.ru/items_images/";"Шкатулка «На катке».";"Фарфор, роспись , золочение, Германия, Розенталь, н. ХХ в. (до 1924 г.), марка зеленая подглазурная «Rosenthal», серия «Rhododendron»  Handgemalt, 5216 (красным), размер 16х11х11 см.";"02/207/01";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_207_01_1.jpg";"02_207_01_2.jpg";"02_207_01_3.jpg";"02_207_01_4.jpg";"02_207_01_5.jpg";"02_207_01_6.jpg";"02_207_01_7.jpg";"02_207_01_8.jpg";"02_207_01_9.jpg";"02_207_01_10.jpg";"02_207_01_11.jpg";""
"1000427";"http://auction-ruseasons.ru/items_images/";"Парные настенные тарелки «Галантные сцены».";"Фарфор, деколь, золочение, без марки, Западная Европа, к. XIX - н. ХХ вв., диаметр 28,5 см.";"02/208/02";"№02";"10000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_208_02_1.jpg";"02_208_02_2.jpg";"02_208_02_3.jpg";"02_208_02_4.jpg";"02_208_02_5.jpg";"";"";"";"";"";"";""
"1000428";"http://auction-ruseasons.ru/items_images/";"Фигурка «Играющие кошки».";"Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 8 см.";"02/208/03";"№02";"6000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_208_03_1.jpg";"02_208_03_2.jpg";"02_208_03_3.jpg";"02_208_03_4.jpg";"02_208_03_5.jpg";"02_208_03_6.jpg";"02_208_03_7.jpg";"";"";"";"";""
"1000429";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Рыба, цветы и фрукты» .";"Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.";"02/208/05";"№02";"10000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_208_05_1.jpg";"02_208_05_2.jpg";"02_208_05_3.jpg";"02_208_05_4.jpg";"";"";"";"";"";"";"";""
"1000430";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Розы» .";"Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.";"02/208/07";"№02";"14000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_208_07_1.jpg";"02_208_07_2.jpg";"02_208_07_3.jpg";"02_208_07_4.jpg";"";"";"";"";"";"";"";""
"1000431";"http://auction-ruseasons.ru/items_images/";"Кашпо «В парке».";"Бисквит, лепка, золочение, Западная Европа, к. XIX в., без марки, размер 21,5х12х15 см.";"02/208/08";"№02";"20000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_208_08_1.jpg";"02_208_08_2.jpg";"02_208_08_3.jpg";"02_208_08_4.jpg";"02_208_08_5.jpg";"02_208_08_6.jpg";"02_208_08_7.jpg";"02_208_08_8.jpg";"";"";"";""
"1000432";"http://auction-ruseasons.ru/items_images/";"Ваза с крышкой в стиле Севр.";"Фарфор, роспись, золочение, лепные маскароны, Франция, 2-я пол. XIX в., высота 37 см. (на крышке скол и склейка)";"02/210/02";"№02";"50000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_210_02_1.jpg";"02_210_02_2.jpg";"02_210_02_3.jpg";"02_210_02_4.jpg";"02_210_02_5.jpg";"02_210_02_6.jpg";"02_210_02_7.jpg";"02_210_02_8.jpg";"";"";"";""
"1000433";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем «Цветы».";"Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения)";"02/210/03.1";"№02";"8000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_210_03.1_1.jpg";"02_210_03.1_2.jpg";"02_210_03.1_3.jpg";"02_210_03.1_4.jpg";"02_210_03.1_5.jpg";"02_210_03.1_6.jpg";"02_210_03.1_7.jpg";"02_210_03.1_8.jpg";"02_210_03.1_9.jpg";"";"";""
"1000434";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем «Цветы».";"Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения)";"02/210/03.2";"№02";"8000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_210_03.2_1.jpg";"02_210_03.2_2.jpg";"02_210_03.2_3.jpg";"02_210_03.2_4.jpg";"02_210_03.2_5.jpg";"02_210_03.2_6.jpg";"02_210_03.2_7.jpg";"02_210_03.2_8.jpg";"";"";"";""
"1000435";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем «Самураи».";"Фарфор, роспись, золочение, Япония, н. ХХ в., высота чашки 5 см, диаметр блюдца 14 см.";"02/210/06";"№02";"3500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_210_06_1.jpg";"02_210_06_2.jpg";"02_210_06_3.jpg";"02_210_06_4.jpg";"02_210_06_5.jpg";"02_210_06_6.jpg";"02_210_06_7.jpg";"02_210_06_8.jpg";"02_210_06_9.jpg";"";"";""
"1000436";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем.";"Фарфор, розовое крытье, роспись, золочение, Россия, завод Кузнецова на Волхове, н. ХХ в., высота чашки 8 см, диаметр блюдца 14 см (небольшой скол на основании чашки)";"02/210/07";"№02";"3500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_210_07_1.jpg";"02_210_07_2.jpg";"02_210_07_3.jpg";"02_210_07_4.jpg";"02_210_07_5.jpg";"02_210_07_6.jpg";"02_210_07_7.jpg";"02_210_07_8.jpg";"02_210_07_9.jpg";"";"";""
"1000437";"http://auction-ruseasons.ru/items_images/";"Пласт «Нарциссы».";"Фаянс, роспись, золочение. На обороте дарственная надпись «На память от Е.П. 19 16/11 08», Россия, н. ХХ в., диаметр 20 см.";"02/212/08";"№02";"10000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_212_08_1.jpg";"02_212_08_2.jpg";"";"";"";"";"";"";"";"";"";""
"1000438";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Розы».";"Фарфор, роспись, золочение, Германия, Берлин, КРМ, марка синий скипетр (1875-1944), нач. ХХ в., диаметр 34 см.";"02/213/02";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_213_02_1.jpg";"02_213_02_2.jpg";"02_213_02_3.jpg";"02_213_02_4.jpg";"";"";"";"";"";"";"";""
"1000439";"http://auction-ruseasons.ru/items_images/";"Тарелка «Цветы».";"Фарфор, монохромная надглазурная роспись, орнаментальное золочение, КРМ, Берлин, Германия, марка голубая скипетр и красная держава, красным КРМ, н. ХХ в., диаметр 21,5 см.";"02/213/05";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_213_05_1.jpg";"02_213_05_2.jpg";"02_213_05_3.jpg";"02_213_05_4.jpg";"02_213_05_5.jpg";"";"";"";"";"";"";""
"1000440";"http://auction-ruseasons.ru/items_images/";"Фигура «Львенок».";"Фарфор, роспись полихромная, подглазурная, Мейсен Германия, марка синие скрещенные мечи, н. ХХ в., высота 11,5 см.";"02/213/06";"№02";"35000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_213_06_1.jpg";"02_213_06_2.jpg";"";"";"";"";"";"";"";"";"";""
"1000441";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем.";"Фарфор, роспись надглазурная, полихромная, золотое и серебряное крытье, рельеф, орнаментальное золочение, Австрия (?), марка венский щиток, к. XIX -  н. ХХ вв., высота чашки 6,5 см, диаметр блюдца 13,5 см.";"02/213/07";"№02";"55000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_213_07_1.jpg";"02_213_07_2.jpg";"";"";"";"";"";"";"";"";"";""
"1000442";"http://auction-ruseasons.ru/items_images/";"Менажница «Цветы».";"Фарфор, роспись, золочение, Силезия, Тифенфурт, марка под орлом ТРМ (Tiefenfurt Porzellan Manufaktur), к. XIX в., размер 34х22х10 см.";"02/214/01";"№02";"11000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_214_01_1.jpg";"02_214_01_2.jpg";"02_214_01_3.jpg";"02_214_01_4.jpg";"02_214_01_5.jpg";"02_214_01_6.jpg";"02_214_01_7.jpg";"";"";"";"";""
"1000443";"http://auction-ruseasons.ru/items_images/";"Тарелка «Орел и журавль».";"Фарфор, кобальт, золочение, роспись, Франция, Лимож, фарфоровая фабрика Mavaleix & Granger, марка - сплетенные M и G, France deposee, 1920-1938 гг., диаметр 20,8 см.";"02/214/02";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_214_02_1.jpg";"02_214_02_2.jpg";"02_214_02_3.jpg";"";"";"";"";"";"";"";"";""
"1000444";"http://auction-ruseasons.ru/items_images/";"Фарфоровый пласт «Проснись, дорогая».";"Фарфор, живопись, Западная Европа, к. XIX - н. ХХ вв., подпись в правом нижнем углу неразборчиво, без марки, на обороте карандашом номера, рамка: дерево, золочение, бархат, размер 20х15 см.";"02/214/03";"№02";"60000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_214_03_1.jpg";"02_214_03_2.jpg";"02_214_03_3.jpg";"";"";"";"";"";"";"";"";""
"1000445";"http://auction-ruseasons.ru/items_images/";"Тарелка «Цветы».";"Фарфор, роспись, золочение, Франция, н. ХХ в., диаметр 24 см.";"02/215/02";"№02";"4500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_215_02_1.jpg";"02_215_02_2.jpg";"02_215_02_3.jpg";"";"";"";"";"";"";"";"";""
"1000446";"http://auction-ruseasons.ru/items_images/";"6 десертных тарелок «Мифологические сцены».";"Фарфор, бордовое крытье, роспись золотом, деколь, Западная Европа, Австрия(?), к. XIX - н. ХХ вв., диаметр 19,5 см.";"02/215/03";"№02";"13500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_215_03_1.jpg";"02_215_03_2.jpg";"02_215_03_3.jpg";"02_215_03_4.jpg";"02_215_03_5.jpg";"02_215_03_6.jpg";"02_215_03_7.jpg";"02_215_03_8.jpg";"02_215_03_9.jpg";"02_215_03_10.jpg";"02_215_03_11.jpg";"02_215_03_12.jpg"
"1000447";"http://auction-ruseasons.ru/items_images/";"Ваза «Колокольчики».";"Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 17 см";"02/217/06";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_217_06_1.jpg";"02_217_06_2.jpg";"02_217_06_3.jpg";"02_217_06_4.jpg";"02_217_06_5.jpg";"02_217_06_6.jpg";"02_217_06_7.jpg";"";"";"";"";""
